unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1.6473E+12,2022/3/15 0:00,BNB/USDT,373.28,374.71,371.5,372.3,26715.72,9969405.767,13445
1.64722E+12,2022/3/14 0:00,BNB/USDT,361.06,374,359.05,373.27,810016.97,297648061.5,488614
1.64713E+12,2022/3/13 0:00,BNB/USDT,372.13,376.99,359.53,361.06,716405.55,264958763,510578
1.64704E+12,2022/3/12 0:00,BNB/USDT,371.79,379.13,370.65,372.13,562882.47,211422116.7,479674
1.64696E+12,2022/3/11 0:00,BNB/USDT,371.75,379.81,364.44,371.8,921756.69,343069533.4,643698
1.64687E+12,2022/3/10 0:00,BNB/USDT,392.96,394.36,362.76,371.77,1230312.39,461084617.8,803795
1.64678E+12,2022/3/9 0:00,BNB/USDT,381.02,402.45,380.71,392.96,1598742.55,630177574.4,871614
1.6467E+12,2022/3/8 0:00,BNB/USDT,380.12,388.8,376.59,380.99,1340264.2,512811342.9,713882
1.64661E+12,2022/3/7 0:00,BNB/USDT,374.68,385.62,362.36,380.13,1604861.57,602333649.3,909833
1.64652E+12,2022/3/6 0:00,BNB/USDT,384.41,387,372.16,374.64,813431.18,308621930.4,584555
1.64644E+12,2022/3/5 0:00,BNB/USDT,374.05,387.22,366.62,384.38,865309.88,326382281.5,627219
1.64635E+12,2022/3/4 0:00,BNB/USDT,402.24,403.27,371.5,374.05,1197130.93,465715350.5,783188
1.64627E+12,2022/3/3 0:00,BNB/USDT,408.95,412.76,397.11,402.25,962575.97,389953761.3,726505
1.64618E+12,2022/3/2 0:00,BNB/USDT,408.61,415.46,403.41,408.95,1153475.22,472652549.4,841250
1.64609E+12,2022/3/1 0:00,BNB/USDT,395.47,429.36,390.97,408.56,2327829.24,947724585.8,1251209
1.64601E+12,2022/2/28 0:00,BNB/USDT,359.97,397.37,355.52,395.5,1485043.23,555718426.1,869567
1.64592E+12,2022/2/27 0:00,BNB/USDT,373.46,381.17,357.87,359.98,1137035.75,419421651.6,764511
1.64583E+12,2022/2/26 0:00,BNB/USDT,374.7,392.79,370.05,373.44,910065.37,342691638.7,627009
1.64575E+12,2022/2/25 0:00,BNB/USDT,360.81,377.18,356.41,374.67,1258672.16,460204421.1,764522
1.64566E+12,2022/2/24 0:00,BNB/USDT,365.41,370.77,323.02,360.8,3108326.69,1069943747,1487455
1.64557E+12,2022/2/23 0:00,BNB/USDT,373.99,384.21,365.02,365.41,1184214.06,445382538.2,723171
1.64549E+12,2022/2/22 0:00,BNB/USDT,356.34,375.35,347.87,373.94,1624665.92,588030967,845346
1.6454E+12,2022/2/21 0:00,BNB/USDT,380.31,393.41,354.64,356.35,2066878.13,776896993.4,1027131
1.64532E+12,2022/2/20 0:00,BNB/USDT,399.49,399.77,374.61,380.31,1228339.57,470299411.8,721906
1.64523E+12,2022/2/19 0:00,BNB/USDT,398.89,406.34,392.57,399.43,782602.83,312916650.5,516757
1.64514E+12,2022/2/18 0:00,BNB/USDT,402.02,410.96,391.85,398.89,1103745.27,442706677.2,673256
1.64506E+12,2022/2/17 0:00,BNB/USDT,426.98,430.86,399.52,401.98,1194826.95,497142924.4,743407
1.64497E+12,2022/2/16 0:00,BNB/USDT,432.09,433.5,421.91,426.98,1068550.6,457961000.7,716621
1.64488E+12,2022/2/15 0:00,BNB/USDT,403.29,443.3,402.67,432.08,1891608.21,806624525.2,1040704
1.6448E+12,2022/2/14 0:00,BNB/USDT,397.83,404.42,390.31,403.29,876802.26,348625546.7,551262
1.64471E+12,2022/2/13 0:00,BNB/USDT,403.48,407.66,394.38,397.82,735432.63,295439446.6,503509
1.64462E+12,2022/2/12 0:00,BNB/USDT,399.81,406.99,393.09,403.46,883203.51,353613593.6,617873
1.64454E+12,2022/2/11 0:00,BNB/USDT,414.37,418.6,392.5,399.81,1228674.22,502188865.9,815993
1.64445E+12,2022/2/10 0:00,BNB/USDT,422.56,435.13,409.59,414.36,1689843.5,713706574,939684
1.64436E+12,2022/2/9 0:00,BNB/USDT,407.96,427.49,407.22,422.57,1164173.38,486652732.5,680185
1.64428E+12,2022/2/8 0:00,BNB/USDT,433.14,445.48,406.26,407.94,1455518.29,615675365.1,835786
1.64419E+12,2022/2/7 0:00,BNB/USDT,419.67,438.58,412.79,433.15,1172317.29,503194999.3,691254
1.64411E+12,2022/2/6 0:00,BNB/USDT,413.37,421.57,406.28,419.64,964364.54,400023720.9,550859
1.64402E+12,2022/2/5 0:00,BNB/USDT,399.33,430.37,396.14,413.37,1835500.32,764993398.8,848023
1.64393E+12,2022/2/4 0:00,BNB/USDT,372.07,399.42,369.09,399.33,1407258.11,539683227.8,703628
1.64385E+12,2022/2/3 0:00,BNB/USDT,367.01,372.35,359.15,372.08,959358.35,350509524,591893
1.64376E+12,2022/2/2 0:00,BNB/USDT,383.93,385.97,366,366.94,1042518.69,392409862.6,611361
1.64367E+12,2022/2/1 0:00,BNB/USDT,374.4,388.55,373.6,383.93,1093014.2,418471603.4,679563
1.64359E+12,2022/1/31 0:00,BNB/USDT,376.84,385.1,364.77,374.38,1151928.43,432274404.8,714879
1.6435E+12,2022/1/30 0:00,BNB/USDT,389.04,389.27,372.13,376.84,981385,374116904.4,635624
1.64341E+12,2022/1/29 0:00,BNB/USDT,385.83,397.34,380.53,389.04,1114435.13,432614537.7,721743
1.64333E+12,2022/1/28 0:00,BNB/USDT,389.37,396.39,375.26,385.84,1690112.66,652107029.3,963796
1.64324E+12,2022/1/27 0:00,BNB/USDT,374.78,392.88,359.28,389.36,1635176.05,610373096.7,929843
1.64316E+12,2022/1/26 0:00,BNB/USDT,384.8,402.42,366,374.75,1779097.73,685222514.4,981445
1.64307E+12,2022/1/25 0:00,BNB/USDT,370.94,387.9,357.32,384.8,1481220.47,551247870.8,839918
1.64298E+12,2022/1/24 0:00,BNB/USDT,383.86,383.9,336,370.93,2416219.8,860098112.4,1363207
1.6429E+12,2022/1/23 0:00,BNB/USDT,358.33,388.97,356.18,383.87,1910787.44,717086344.7,1088627
1.64281E+12,2022/1/22 0:00,BNB/USDT,383.62,388.98,335.68,358.34,3012172.61,1086900761,1568680
1.64272E+12,2022/1/21 0:00,BNB/USDT,440.07,444.57,373.11,383.57,2443646.22,1009568354,1405698
1.64264E+12,2022/1/20 0:00,BNB/USDT,461.53,478.34,438.1,440.05,1851504.99,860227155.7,1039399
1.64255E+12,2022/1/19 0:00,BNB/USDT,470.54,472.59,453.3,461.54,1096429.8,509361738.5,599893
1.64246E+12,2022/1/18 0:00,BNB/USDT,474.69,479,456.8,470.53,1175521.67,548367911.6,655915
1.64238E+12,2022/1/17 0:00,BNB/USDT,497.94,498.2,466.47,474.69,1286243.88,615730353.3,803616
1.64229E+12,2022/1/16 0:00,BNB/USDT,493.75,504.87,488.02,497.95,826029.49,409730380,577326
1.6422E+12,2022/1/15 0:00,BNB/USDT,489.5,500.27,484.01,493.75,830556.69,409461167.3,585258
1.64212E+12,2022/1/14 0:00,BNB/USDT,474.29,492.28,466.39,489.51,1175474.83,564250422,723468
1.64203E+12,2022/1/13 0:00,BNB/USDT,487.47,488.5,465.86,474.36,1247882.49,596300109.2,755670
1.64195E+12,2022/1/12 0:00,BNB/USDT,462.89,488.41,456.26,487.5,1262509.7,597206894.6,756385
1.64186E+12,2022/1/11 0:00,BNB/USDT,424.51,467.4,421.22,462.87,1769764.64,797268995.5,1041229
1.64177E+12,2022/1/10 0:00,BNB/USDT,438.31,445.21,406.46,424.54,1611421.86,682635903.6,820184
1.64169E+12,2022/1/9 0:00,BNB/USDT,429.6,444.14,426.72,438.33,850190.24,369560684.4,524889
1.6416E+12,2022/1/8 0:00,BNB/USDT,448.1,459.65,415.46,429.59,1252328.01,547408923.3,751167
1.64151E+12,2022/1/7 0:00,BNB/USDT,472.47,473.76,437.08,448.1,1506628.68,678793229.9,856101
1.64143E+12,2022/1/6 0:00,BNB/USDT,474,480.96,458.65,472.46,1298011.04,608913792.9,714771
1.64134E+12,2022/1/5 0:00,BNB/USDT,506.88,515.92,456.2,473.95,1450747.64,717300047.3,824190
1.64125E+12,2022/1/4 0:00,BNB/USDT,512.24,519.85,502,506.88,1042411.2,533189808.1,706472
1.64117E+12,2022/1/3 0:00,BNB/USDT,530.92,533,510.41,512.24,795766.94,415267551.5,585878
1.64108E+12,2022/1/2 0:00,BNB/USDT,527.36,533.9,518.01,530.91,572079.85,300965349.6,474929
