unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1.65102E+12,2022/4/27 0:00,BNB/USDT,386,387.8,385,387,15932.891,6159186.351,6357
1.65093E+12,2022/4/26 0:00,BNB/USDT,404.4,407.5,380.8,385.9,629808.812,248264999.3,297370
1.65084E+12,2022/4/25 0:00,BNB/USDT,398.8,405.7,382.3,404.3,849798.678,334326205.4,337734
1.65076E+12,2022/4/24 0:00,BNB/USDT,401.2,405.5,397.1,398.8,322889.805,129744963.6,172618
1.65067E+12,2022/4/23 0:00,BNB/USDT,406.6,408.1,397.3,401.1,339347.45,137157329.9,187741
1.65059E+12,2022/4/22 0:00,BNB/USDT,404.9,413.9,403.3,406.6,563521.049,230501976.7,255825
1.6505E+12,2022/4/21 0:00,BNB/USDT,418.4,426,401.2,404.9,771718.154,322432006.8,323273
1.65041E+12,2022/4/20 0:00,BNB/USDT,422.3,431.4,414.9,418.4,677255.09,286561981.3,355369
1.65033E+12,2022/4/19 0:00,BNB/USDT,416.9,424.7,414.6,422.3,567586.931,238184352,299856
1.65024E+12,2022/4/18 0:00,BNB/USDT,406.7,418,396.2,416.8,628747.772,255406129.1,298174
1.65015E+12,2022/4/17 0:00,BNB/USDT,417.3,418.2,405.5,406.6,302390.726,125179818.4,167160
1.65007E+12,2022/4/16 0:00,BNB/USDT,417.3,419,411.6,417.3,237289.02,98579512,153106
1.64998E+12,2022/4/15 0:00,BNB/USDT,414.7,420,412.5,417.3,331730.773,138219013.2,192015
1.64989E+12,2022/4/14 0:00,BNB/USDT,423.4,426.9,411.3,414.7,464220.208,194192226,264015
1.64981E+12,2022/4/13 0:00,BNB/USDT,413.7,424.6,410.3,423.4,630077.277,263365818.4,338150
1.64972E+12,2022/4/12 0:00,BNB/USDT,394.6,417.1,392.4,413.6,729790.918,297678247.1,364735
1.64964E+12,2022/4/11 0:00,BNB/USDT,418.1,419.7,391.2,394.6,856354.224,348015114.8,361757
1.64955E+12,2022/4/10 0:00,BNB/USDT,426.6,429.5,417,418.1,386650.883,164022002.2,212728
1.64946E+12,2022/4/9 0:00,BNB/USDT,421.5,428.2,419.6,426.6,356426.659,151083668.1,207253
1.64938E+12,2022/4/8 0:00,BNB/USDT,436.1,442,418.4,421.5,684600.074,294837274.7,363605
1.64929E+12,2022/4/7 0:00,BNB/USDT,420.1,450,416.2,436,717661.036,308674406.2,400142
1.6492E+12,2022/4/6 0:00,BNB/USDT,444.7,448.6,418.3,420.1,928930.806,401489681.8,504090
1.64912E+12,2022/4/5 0:00,BNB/USDT,447.6,460,444.1,444.7,761168.725,344439007.5,424545
1.64903E+12,2022/4/4 0:00,BNB/USDT,450.4,450.5,433.4,447.6,736637.271,326915235.4,380099
1.64894E+12,2022/4/3 0:00,BNB/USDT,437.3,455.7,432.2,450.4,676230.892,300737395.2,362521
1.64886E+12,2022/4/2 0:00,BNB/USDT,447.8,454.2,435.7,437.2,827864.885,369703438,416135
1.64877E+12,2022/4/1 0:00,BNB/USDT,428.9,448.2,412.8,447.7,971822.655,420007037.6,502046
1.64868E+12,2022/3/31 0:00,BNB/USDT,442.1,452.3,423.9,428.9,957924.695,420218726.7,511531
1.6486E+12,2022/3/30 0:00,BNB/USDT,434.2,449.3,425.5,442.1,768982.427,337640530.6,435588
1.64851E+12,2022/3/29 0:00,BNB/USDT,430.2,441.6,429.4,434.2,629773.894,274292495,372204
1.64843E+12,2022/3/28 0:00,BNB/USDT,430.6,441,427.6,430.2,719102.183,312557900.8,410910
1.64834E+12,2022/3/27 0:00,BNB/USDT,415.9,431.6,411.7,430.5,490998.1,206354927.6,302985
1.64825E+12,2022/3/26 0:00,BNB/USDT,410.3,416.4,407.5,415.8,280157.687,115642732.5,197760
1.64817E+12,2022/3/25 0:00,BNB/USDT,414.2,421.5,405.5,410.3,609691.876,252564500.7,324808
1.64808E+12,2022/3/24 0:00,BNB/USDT,408.4,416.6,405,414.2,598366.115,246062725.2,312271
1.64799E+12,2022/3/23 0:00,BNB/USDT,404.3,411.7,397.9,408.4,535891.79,216596978.3,283766
1.64791E+12,2022/3/22 0:00,BNB/USDT,396,410,394.8,404.3,609034.607,246686059.5,315030
1.64782E+12,2022/3/21 0:00,BNB/USDT,390.8,399.5,384.8,396,541479.78,213220417.4,282212
1.64773E+12,2022/3/20 0:00,BNB/USDT,399.9,400.8,386.2,390.8,398984.429,156927918.9,265148
1.64765E+12,2022/3/19 0:00,BNB/USDT,397.2,406.4,394.9,399.9,459996.613,184226934.3,285223
1.64756E+12,2022/3/18 0:00,BNB/USDT,391.9,400,384,397.2,553763.586,216435335.3,309939
1.64748E+12,2022/3/17 0:00,BNB/USDT,385.3,393.5,381.7,391.8,569457.408,220668680,292447
1.64739E+12,2022/3/16 0:00,BNB/USDT,371.7,386.6,367.8,385.4,668878.615,252390066.9,348707
1.6473E+12,2022/3/15 0:00,BNB/USDT,373.4,374.7,361.7,371.7,440890.823,162504505.5,232435
1.64722E+12,2022/3/14 0:00,BNB/USDT,361.4,373.9,359.5,373.4,467814.984,171918309.4,250927
1.64713E+12,2022/3/13 0:00,BNB/USDT,372.4,377.2,360.1,361.4,424762.642,157468699.6,252852
1.64704E+12,2022/3/12 0:00,BNB/USDT,371.9,379.2,371.1,372.4,402475.646,151304077.2,227739
1.64696E+12,2022/3/11 0:00,BNB/USDT,372.1,380,364.7,371.9,510174.586,189829352.1,273544
1.64687E+12,2022/3/10 0:00,BNB/USDT,393.2,394.5,363,372,791241.376,296356270,385854
1.64678E+12,2022/3/9 0:00,BNB/USDT,381.4,402.7,381,393.2,1012850.747,399432781.3,464185
1.6467E+12,2022/3/8 0:00,BNB/USDT,380.6,388.7,375.3,381.4,646909.821,247674957.8,298145
1.64661E+12,2022/3/7 0:00,BNB/USDT,375,385.9,362.8,380.6,948766.857,356272497.8,394184
1.64652E+12,2022/3/6 0:00,BNB/USDT,384.8,387.3,371.6,375,489079.158,185729892.8,260216
1.64644E+12,2022/3/5 0:00,BNB/USDT,374.1,387.3,367.2,384.7,453970.242,171261274.7,269443
1.64635E+12,2022/3/4 0:00,BNB/USDT,402.6,403.5,372,374.2,756176.61,294267657.1,366024
1.64627E+12,2022/3/3 0:00,BNB/USDT,409.3,413.2,397.4,402.6,577002.325,233991241.5,320905
1.64618E+12,2022/3/2 0:00,BNB/USDT,408.7,415.7,403.8,409.3,788499.443,323372980.9,430117
1.64609E+12,2022/3/1 0:00,BNB/USDT,395.7,424.9,390.4,408.7,1403695.832,570619625.6,680260
1.64601E+12,2022/2/28 0:00,BNB/USDT,360.1,397.2,355.8,395.6,773064.48,289850493,417256
1.64592E+12,2022/2/27 0:00,BNB/USDT,373.7,381.2,358.1,360.1,677364.949,249999154.5,354177
1.64583E+12,2022/2/26 0:00,BNB/USDT,375,386.1,370.5,373.7,548687.941,206711446.4,304302
1.64575E+12,2022/2/25 0:00,BNB/USDT,361.2,377.2,356.8,375,783242.16,286459035.5,383154
1.64566E+12,2022/2/24 0:00,BNB/USDT,365.6,371.3,323.5,361.2,1949035.935,670530462.9,727590
1.64557E+12,2022/2/23 0:00,BNB/USDT,374.3,384.2,365.3,365.6,698692.661,262913145.3,340110
1.64549E+12,2022/2/22 0:00,BNB/USDT,356.7,375.4,348.7,374.3,940456.822,340225406.8,395255
1.6454E+12,2022/2/21 0:00,BNB/USDT,380.7,393.7,355,356.6,1219652.481,457114758.2,537899
1.64532E+12,2022/2/20 0:00,BNB/USDT,399.8,400,375,380.6,624148.525,239051431,344722
1.64523E+12,2022/2/19 0:00,BNB/USDT,399.2,406.4,393,399.8,410279.304,164154087.3,253423
1.64514E+12,2022/2/18 0:00,BNB/USDT,402.4,411,392.2,399.2,611936.679,245671823.9,332933
1.64506E+12,2022/2/17 0:00,BNB/USDT,427.3,431.1,400,402.4,661874.717,275709832.7,399164
1.64497E+12,2022/2/16 0:00,BNB/USDT,432.4,433.5,422.2,427.3,606252.493,259874383.3,376834
1.64488E+12,2022/2/15 0:00,BNB/USDT,403.4,443,402.7,432.4,1184143.99,505124380,555199
1.6448E+12,2022/2/14 0:00,BNB/USDT,398,404.5,390.6,403.4,472210.318,187826631.9,281617
1.64471E+12,2022/2/13 0:00,BNB/USDT,403.6,407.8,394.7,397.9,388657.052,156144929.8,267677
1.64462E+12,2022/2/12 0:00,BNB/USDT,400,407.1,393.3,403.6,521080.237,208673605,338979
1.64454E+12,2022/2/11 0:00,BNB/USDT,414.7,418.9,390.5,400,700843.2,286858834.4,438186
1.64445E+12,2022/2/10 0:00,BNB/USDT,422.9,434.9,410,414.7,956240.339,403767915,518995
1.64436E+12,2022/2/9 0:00,BNB/USDT,407.9,427.7,407.1,422.9,633880.431,265055577.2,390401
1.64428E+12,2022/2/8 0:00,BNB/USDT,433.5,445.4,406.2,407.8,1148555.321,484080748.8,608313
1.64419E+12,2022/2/7 0:00,BNB/USDT,419.9,439,413.3,433.5,758247.667,326074842.6,475365
1.64411E+12,2022/2/6 0:00,BNB/USDT,413.8,422.5,407,419.9,542631.176,225211627.9,345411
1.64402E+12,2022/2/5 0:00,BNB/USDT,399.6,431,396.3,413.7,1031046.87,429828793,526783
1.64393E+12,2022/2/4 0:00,BNB/USDT,372.2,399.7,369.5,399.5,849825.828,326468411.4,412637
1.64385E+12,2022/2/3 0:00,BNB/USDT,367.1,372.4,359.6,372.3,495715.227,181299666.3,300375
1.64376E+12,2022/2/2 0:00,BNB/USDT,384.1,386.1,366.1,366.9,572340.04,215596317.4,346326
1.64367E+12,2022/2/1 0:00,BNB/USDT,374.4,388.4,373.7,384.2,555347.277,212697945.1,333563
1.64359E+12,2022/1/31 0:00,BNB/USDT,377.2,385.4,365.2,374.3,620113.734,232898450.6,360853
1.6435E+12,2022/1/30 0:00,BNB/USDT,389.4,389.6,372.2,377.2,536436.123,204652766.3,322360
1.64341E+12,2022/1/29 0:00,BNB/USDT,385.9,397.3,380.7,389.3,534573.782,207593040.2,342125
1.64333E+12,2022/1/28 0:00,BNB/USDT,389.9,395.9,375.8,385.9,752320.615,290426869.6,439977
1.64324E+12,2022/1/27 0:00,BNB/USDT,375.1,393.8,360,389.9,962060.888,358493434.9,530658
1.64316E+12,2022/1/26 0:00,BNB/USDT,385.1,402.4,366.4,375.1,1073520.172,413788334.1,609665
1.64307E+12,2022/1/25 0:00,BNB/USDT,371.2,389.5,357.4,385.1,1006111.155,374436795.4,496841
